>>> Starting benchmark: scrabble
>>> GC: ZGC
>>> Duration: 600s
>>> Base dir: ZGC-java25-2026-04-24
>>> Output dir: ZGC-java25-2026-04-24/scrabble
WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
WARNING: sun.misc.Unsafe::objectFieldOffset has been called by scala.runtime.LazyVals$ (resource:/shared/scala3-library_3-3.3.4.jar)
WARNING: Please consider reporting this to the maintainers of class scala.runtime.LazyVals$
WARNING: sun.misc.Unsafe::objectFieldOffset will be removed in a future release
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
[jmx-memory plugin] WARNING: MXBean for old generation not found, using mock.
====== scrabble (functional) [default], iteration 0 started ======
====== scrabble (functional) [default], iteration 0 completed (1139.321 ms) ======
====== scrabble (functional) [default], iteration 1 started ======
====== scrabble (functional) [default], iteration 1 completed (559.903 ms) ======
====== scrabble (functional) [default], iteration 2 started ======
====== scrabble (functional) [default], iteration 2 completed (511.570 ms) ======
====== scrabble (functional) [default], iteration 3 started ======
====== scrabble (functional) [default], iteration 3 completed (509.631 ms) ======
====== scrabble (functional) [default], iteration 4 started ======
====== scrabble (functional) [default], iteration 4 completed (484.604 ms) ======
====== scrabble (functional) [default], iteration 5 started ======
====== scrabble (functional) [default], iteration 5 completed (454.785 ms) ======
====== scrabble (functional) [default], iteration 6 started ======
====== scrabble (functional) [default], iteration 6 completed (368.965 ms) ======
====== scrabble (functional) [default], iteration 7 started ======
====== scrabble (functional) [default], iteration 7 completed (456.261 ms) ======
====== scrabble (functional) [default], iteration 8 started ======
====== scrabble (functional) [default], iteration 8 completed (419.260 ms) ======
====== scrabble (functional) [default], iteration 9 started ======
====== scrabble (functional) [default], iteration 9 completed (343.182 ms) ======
====== scrabble (functional) [default], iteration 10 started ======
====== scrabble (functional) [default], iteration 10 completed (581.943 ms) ======
====== scrabble (functional) [default], iteration 11 started ======
====== scrabble (functional) [default], iteration 11 completed (458.447 ms) ======
====== scrabble (functional) [default], iteration 12 started ======
====== scrabble (functional) [default], iteration 12 completed (348.941 ms) ======
====== scrabble (functional) [default], iteration 13 started ======
====== scrabble (functional) [default], iteration 13 completed (369.973 ms) ======
====== scrabble (functional) [default], iteration 14 started ======
====== scrabble (functional) [default], iteration 14 completed (423.484 ms) ======
====== scrabble (functional) [default], iteration 15 started ======
====== scrabble (functional) [default], iteration 15 completed (346.557 ms) ======
====== scrabble (functional) [default], iteration 16 started ======
====== scrabble (functional) [default], iteration 16 completed (408.692 ms) ======
====== scrabble (functional) [default], iteration 17 started ======
====== scrabble (functional) [default], iteration 17 completed (342.305 ms) ======
====== scrabble (functional) [default], iteration 18 started ======
====== scrabble (functional) [default], iteration 18 completed (358.072 ms) ======
====== scrabble (functional) [default], iteration 19 started ======
====== scrabble (functional) [default], iteration 19 completed (448.855 ms) ======
====== scrabble (functional) [default], iteration 20 started ======
====== scrabble (functional) [default], iteration 20 completed (432.213 ms) ======
====== scrabble (functional) [default], iteration 21 started ======
====== scrabble (functional) [default], iteration 21 completed (352.662 ms) ======
====== scrabble (functional) [default], iteration 22 started ======
====== scrabble (functional) [default], iteration 22 completed (345.126 ms) ======
====== scrabble (functional) [default], iteration 23 started ======
====== scrabble (functional) [default], iteration 23 completed (436.643 ms) ======
====== scrabble (functional) [default], iteration 24 started ======
====== scrabble (functional) [default], iteration 24 completed (349.250 ms) ======
====== scrabble (functional) [default], iteration 25 started ======
====== scrabble (functional) [default], iteration 25 completed (343.476 ms) ======
====== scrabble (functional) [default], iteration 26 started ======
====== scrabble (functional) [default], iteration 26 completed (438.963 ms) ======
====== scrabble (functional) [default], iteration 27 started ======
====== scrabble (functional) [default], iteration 27 completed (469.999 ms) ======
====== scrabble (functional) [default], iteration 28 started ======
====== scrabble (functional) [default], iteration 28 completed (438.122 ms) ======
====== scrabble (functional) [default], iteration 29 started ======
====== scrabble (functional) [default], iteration 29 completed (350.291 ms) ======
====== scrabble (functional) [default], iteration 30 started ======
====== scrabble (functional) [default], iteration 30 completed (339.622 ms) ======
====== scrabble (functional) [default], iteration 31 started ======
====== scrabble (functional) [default], iteration 31 completed (400.173 ms) ======
====== scrabble (functional) [default], iteration 32 started ======
====== scrabble (functional) [default], iteration 32 completed (345.935 ms) ======
====== scrabble (functional) [default], iteration 33 started ======
====== scrabble (functional) [default], iteration 33 completed (339.720 ms) ======
====== scrabble (functional) [default], iteration 34 started ======
====== scrabble (functional) [default], iteration 34 completed (417.392 ms) ======
====== scrabble (functional) [default], iteration 35 started ======
====== scrabble (functional) [default], iteration 35 completed (346.466 ms) ======
====== scrabble (functional) [default], iteration 36 started ======
====== scrabble (functional) [default], iteration 36 completed (342.714 ms) ======
====== scrabble (functional) [default], iteration 37 started ======
====== scrabble (functional) [default], iteration 37 completed (399.227 ms) ======
====== scrabble (functional) [default], iteration 38 started ======
====== scrabble (functional) [default], iteration 38 completed (437.402 ms) ======
====== scrabble (functional) [default], iteration 39 started ======
====== scrabble (functional) [default], iteration 39 completed (342.486 ms) ======
====== scrabble (functional) [default], iteration 40 started ======
====== scrabble (functional) [default], iteration 40 completed (359.412 ms) ======
====== scrabble (functional) [default], iteration 41 started ======
====== scrabble (functional) [default], iteration 41 completed (433.645 ms) ======
====== scrabble (functional) [default], iteration 42 started ======
====== scrabble (functional) [default], iteration 42 completed (377.756 ms) ======
====== scrabble (functional) [default], iteration 43 started ======
====== scrabble (functional) [default], iteration 43 completed (455.454 ms) ======
====== scrabble (functional) [default], iteration 44 started ======
====== scrabble (functional) [default], iteration 44 completed (362.307 ms) ======
====== scrabble (functional) [default], iteration 45 started ======
====== scrabble (functional) [default], iteration 45 completed (438.760 ms) ======
====== scrabble (functional) [default], iteration 46 started ======
====== scrabble (functional) [default], iteration 46 completed (341.864 ms) ======
====== scrabble (functional) [default], iteration 47 started ======
====== scrabble (functional) [default], iteration 47 completed (378.264 ms) ======
====== scrabble (functional) [default], iteration 48 started ======
====== scrabble (functional) [default], iteration 48 completed (429.101 ms) ======
====== scrabble (functional) [default], iteration 49 started ======
====== scrabble (functional) [default], iteration 49 completed (347.386 ms) ======
====== scrabble (functional) [default], iteration 50 started ======
====== scrabble (functional) [default], iteration 50 completed (373.723 ms) ======
====== scrabble (functional) [default], iteration 51 started ======
====== scrabble (functional) [default], iteration 51 completed (437.792 ms) ======
====== scrabble (functional) [default], iteration 52 started ======
====== scrabble (functional) [default], iteration 52 completed (357.135 ms) ======
====== scrabble (functional) [default], iteration 53 started ======
====== scrabble (functional) [default], iteration 53 completed (340.666 ms) ======
====== scrabble (functional) [default], iteration 54 started ======
====== scrabble (functional) [default], iteration 54 completed (402.228 ms) ======
====== scrabble (functional) [default], iteration 55 started ======
====== scrabble (functional) [default], iteration 55 completed (342.840 ms) ======
====== scrabble (functional) [default], iteration 56 started ======
====== scrabble (functional) [default], iteration 56 completed (415.309 ms) ======
====== scrabble (functional) [default], iteration 57 started ======
====== scrabble (functional) [default], iteration 57 completed (344.075 ms) ======
====== scrabble (functional) [default], iteration 58 started ======
====== scrabble (functional) [default], iteration 58 completed (346.830 ms) ======
====== scrabble (functional) [default], iteration 59 started ======
====== scrabble (functional) [default], iteration 59 completed (398.703 ms) ======
====== scrabble (functional) [default], iteration 60 started ======
====== scrabble (functional) [default], iteration 60 completed (380.476 ms) ======
====== scrabble (functional) [default], iteration 61 started ======
====== scrabble (functional) [default], iteration 61 completed (347.843 ms) ======
====== scrabble (functional) [default], iteration 62 started ======
====== scrabble (functional) [default], iteration 62 completed (474.653 ms) ======
====== scrabble (functional) [default], iteration 63 started ======
====== scrabble (functional) [default], iteration 63 completed (339.426 ms) ======
====== scrabble (functional) [default], iteration 64 started ======
====== scrabble (functional) [default], iteration 64 completed (345.259 ms) ======
====== scrabble (functional) [default], iteration 65 started ======
====== scrabble (functional) [default], iteration 65 completed (351.974 ms) ======
====== scrabble (functional) [default], iteration 66 started ======
====== scrabble (functional) [default], iteration 66 completed (447.759 ms) ======
====== scrabble (functional) [default], iteration 67 started ======
====== scrabble (functional) [default], iteration 67 completed (348.308 ms) ======
====== scrabble (functional) [default], iteration 68 started ======
