benchmark;gc;duration_java21_ms;duration_java25_ms;duration_change_percent_java25_vs_java21;stw_java21_ms;stw_java25_ms;stw_change_percent_java25_vs_java21;stw_overhead_java21_percent;stw_overhead_java25_percent;stw_overhead_diff_percentage_points
akka-uct;G1GC;310273.18387;303508.994546;-2.1800753902193923;5177.575;5124.295;-1.029053176438772;1.668715;1.68835;0.01963500000000007
akka-uct;ZGC;312841.91775;316951.059083;1.3134880909033737;0.947;1.317;39.070749736008445;0.000303;0.000416;0.00011299999999999998
als;G1GC;307579.573531;308209.477054;0.20479367851666827;2263.569;2280.829;0.7625126514809232;0.73593;0.740026;0.0040959999999999885
als;ZGC;305484.172644;304505.09309;-0.3205009102520606;0.409;0.52;27.1393643031785;0.000134;0.000171;3.7000000000000005e-05
chi-square;G1GC;308890.4142;308925.023683;0.011204453556657978;1906.774;1800.417;-5.5778503377956685;0.617298;0.582801;-0.034497
chi-square;ZGC;309044.956342;308834.17932;-0.06820270568232199;0.233;0.276;18.4549356223176;7.5e-05;8.9e-05;1.4000000000000001e-05
db-shootout;G1GC;321244.158646;314734.263654;-2.0264633042475633;1958.46;1860.941;-4.979371547031851;0.609648;0.591274;-0.018374
db-shootout;ZGC;319853.643398;314634.106061;-1.6318517686869642;0.826;0.96;16.222760290556902;0.000258;0.000305;4.7000000000000004e-05
dec-tree;G1GC;309392.433014;308402.801112;-0.3198629948248323;2010.939;2064.135;2.6453313601257986;0.649964;0.669298;0.019333999999999962
dec-tree;ZGC;308592.477546;309647.533333;0.34189290529377137;0.283;0.24;-15.194346289752644;9.2e-05;7.8e-05;-1.4000000000000001e-05
dotty;G1GC;164340.900338;163460.61557;-0.5356455795176551;989.352;3087.956;212.11904357599724;0.602012;1.889113;1.287101
dotty;ZGC;172348.800328;172034.899211;-0.1821313037297681;0.472;0.437;-7.415254237288131;0.000274;0.000254;-1.9999999999999998e-05
finagle-chirper;G1GC;304396.744225;305951.443383;0.5107476303527153;1175.529;1021.972;-13.062799811829398;0.386183;0.334031;-0.052151999999999976
finagle-chirper;ZGC;307000.364069;306418.353422;-0.18957979048818918;0.318;0.346;8.80503144654087;0.000104;0.000113;9.000000000000002e-06
finagle-http;G1GC;309232.825167;307108.969797;-0.686814334426827;1480.207;1314.734;-11.179044552552458;0.478671;0.4281;-0.05057100000000003
finagle-http;ZGC;307341.304635;304806.734642;-0.8246760050719766;0.496;0.4;-19.354838709677413;0.000161;0.000131;-2.9999999999999997e-05
fj-kmeans;G1GC;303377.199518;302566.342187;-0.2672769516919236;2041.998;1896.21;-7.139478099390891;0.673089;0.626709;-0.04638000000000009
fj-kmeans;ZGC;308490.49553;304928.446676;-1.1546705346238428;0.511;0.649;27.005870841487283;0.000166;0.000213;4.7000000000000004e-05
future-genetic;G1GC;302201.654961;302722.942087;0.1724964497852451;807.108;932.401;15.52369695257636;0.267076;0.308005;0.04092899999999999
future-genetic;ZGC;302672.347853;303187.012092;0.17004005904429834;0.855;0.829;-3.040935672514623;0.000282;0.000273;-9.000000000000002e-06
gauss-mix;G1GC;312756.952662;317999.334231;1.6761838623825773;1773.022;1547.218;-12.735544172604731;0.566901;0.486548;-0.08035300000000001
gauss-mix;ZGC;309867.299731;318063.340811;2.6450164593408503;0.188;0.236;25.531914893617014;6.1e-05;7.4e-05;1.2999999999999998e-05
log-regression;G1GC;309275.307419;309365.570305;0.029185286970775163;2127.932;1608.544;-24.408110785495012;0.688038;0.519949;-0.16808900000000004
log-regression;ZGC;308902.636342;315442.555796;2.1171458850093394;0.406;0.0;-100.0;0.000131;0.0;-0.000131
mnemonics;G1GC;281866.182456;280359.374939;-0.5345825823696408;1777.231;1767.904;-0.5248051603871415;0.630523;0.630585;6.20000000000065e-05
mnemonics;ZGC;281279.555078;283634.446491;0.8372067469841467;0.54;0.567;4.999999999999984;0.000192;0.0002;8.000000000000005e-06
movie-lens;G1GC;331154.431194;327060.543483;-1.2362472989532995;1963.426;1650.026;-15.961895177103688;0.592903;0.504502;-0.08840099999999995
movie-lens;ZGC;322641.801244;328857.24352;1.9264218870696102;0.475;0.553;16.421052631578963;0.000147;0.000168;2.0999999999999995e-05
naive-bayes;G1GC;310866.269024;309686.658774;-0.3794590689120082;2475.14;2518.474;1.7507696534337567;0.796207;0.813233;0.017025999999999986
naive-bayes;ZGC;310851.777473;309585.353309;-0.4074045110164977;0.912;0.935;2.521929824561406;0.000293;0.000302;9.000000000000002e-06
neo4j-analytics;G1GC;325857.139465;332728.414162;2.108677044265904;1928.154;1834.662;-4.8487828254382155;0.591718;0.551399;-0.040318999999999994
neo4j-analytics;ZGC;332255.886441;332824.64711;0.17118151768276843;0.437;0.532;21.739130434782616;0.000132;0.00016;2.8000000000000003e-05
page-rank;G1GC;209097.548463;208142.365048;-0.4568123452528317;12993.665;13614.86;4.780752774525122;6.214164;6.541129;0.3269649999999995
page-rank;ZGC;207527.707115;205638.593174;-0.9102948070221533;0.553;0.507;-8.318264014466553;0.000266;0.000247;-1.9000000000000028e-05
par-mnemonics;G1GC;274735.849635;274029.185748;-0.2572157539465053;2000.966;1688.761;-15.602713889191518;0.728324;0.61627;-0.11205399999999999
par-mnemonics;ZGC;276683.938603;279159.686877;0.8947929129895328;0.481;0.648;34.719334719334725;0.000174;0.000232;5.8e-05
philosophers;G1GC;302891.500068;303259.770302;0.12158486914202553;1726.443;1923.903;11.437388897287661;0.569987;0.634408;0.06442099999999995
philosophers;ZGC;302720.089057;302031.21666;-0.2275608464393384;0.505;0.489;-3.168316831683171;0.000167;0.000162;-4.999999999999986e-06
reactors;G1GC;309935.741956;316834.755749;2.225949724113922;1381.02;1389.169;0.5900711068630515;0.445583;0.438452;-0.0071309999999999985
reactors;ZGC;307071.130744;309204.784006;0.6948400707127168;0.583;0.717;22.984562607204122;0.00019;0.000232;4.199999999999999e-05
rx-scrabble;G1GC;291058.090868;290894.894777;-0.05606993796781379;1381.654;1504.657;8.902590663074832;0.4747;0.517251;0.042551000000000005
rx-scrabble;ZGC;288710.834085;288663.107972;-0.016530766208067614;0.451;0.541;19.95565410199557;0.000156;0.000187;3.0999999999999995e-05
scala-doku;G1GC;301628.46827;303900.431548;0.7532323759195975;191.258;288.337;50.75813822166915;0.063408;0.094879;0.031471
scala-doku;ZGC;304359.887714;302050.840054;-0.7586570219035562;1.926;2.932;52.232606438213914;0.000633;0.000971;0.000338
scala-kmeans;G1GC;301052.043197;301234.064917;0.06046187830750212;333.332;257.941;-22.617390469561887;0.110722;0.085628;-0.025094000000000005
scala-kmeans;ZGC;301104.518384;301242.528523;0.04583462903204097;0.879;3.273;272.35494880546077;0.000292;0.001086;0.000794
scala-stm-bench7;G1GC;301938.152174;301813.396593;-0.04131825676939002;17841.158;15542.042;-12.88658505238281;5.908878;5.149553;-0.7593249999999996
scala-stm-bench7;ZGC;301714.187977;302343.652112;0.208629278994312;1.089;1.509;38.56749311294765;0.000361;0.000499;0.000138
scrabble;G1GC;301872.08685;301892.117287;0.006635405482167862;2336.901;2525.422;8.067136776440261;0.774136;0.836531;0.06239499999999998
scrabble;ZGC;302037.553584;302287.834743;0.08286425182238129;0.823;1.119;35.96597812879709;0.000272;0.00037;9.8e-05
