benchmark;java;g1gc_duration_ms;zgc_duration_ms;duration_change_percent;g1gc_stw_ms;zgc_stw_ms;stw_change_percent
akka-uct;Java 21;310273.18387;312841.91775;0.8278942601356993;5177.575;0.947;-99.98170958411998
akka-uct;Java 25;303508.994546;316951.059083;4.4288850671813424;5124.295;1.317;-99.97429890355649
als;Java 21;307579.573531;305484.172644;-0.6812548905458561;2263.569;0.409;-99.98193118919724
als;Java 25;308209.477054;304505.09309;-1.201904626492393;2280.829;0.52;-99.97720127199365
chi-square;Java 21;308890.4142;309044.956342;0.05003138164719102;1906.774;0.233;-99.98778040816583
chi-square;Java 25;308925.023683;308834.17932;-0.029406605498306933;1800.417;0.276;-99.98467021806614
db-shootout;Java 21;321244.158646;319853.643398;-0.43285308404077144;1958.46;0.826;-99.95782400457503
db-shootout;Java 25;314734.263654;314634.106061;-0.031822907311448295;1860.941;0.96;-99.94841319525982
dec-tree;Java 21;309392.433014;308592.477546;-0.25855689494637096;2010.939;0.283;-99.98592697242434
dec-tree;Java 25;308402.801112;309647.533333;0.4036060037431288;2064.135;0.24;-99.98837285351976
dotty;Java 21;164340.900338;172348.800328;4.872737080988453;989.352;0.472;-99.95229200527214
dotty;Java 25;163460.61557;172034.899211;5.245473725337946;3087.956;0.437;-99.98584824395166
finagle-chirper;Java 21;304396.744225;307000.364069;0.8553376123088624;1175.529;0.318;-99.9729483492113
finagle-chirper;Java 25;305951.443383;306418.353422;0.15260919636046472;1021.972;0.346;-99.96614388652527
finagle-http;Java 21;309232.825167;307341.304635;-0.6116816773828867;1480.207;0.496;-99.96649117319402
finagle-http;Java 25;307108.969797;304806.734642;-0.7496476434803538;1314.734;0.4;-99.96957559475909
fj-kmeans;Java 21;303377.199518;308490.49553;1.685458241464393;2041.998;0.511;-99.97497548969196
fj-kmeans;Java 25;302566.342187;304928.446676;0.7806897726714622;1896.21;0.649;-99.96577383306702
future-genetic;Java 21;302201.654961;302672.347853;0.155754571251672;807.108;0.855;-99.89406622162089
future-genetic;Java 25;302722.942087;303187.012092;0.15329859104851626;932.401;0.829;-99.911089756446
gauss-mix;Java 21;312756.952662;309867.299731;-0.9239292384725748;1773.022;0.188;-99.98939663467232
gauss-mix;Java 25;317999.334231;318063.340811;0.020127897485939742;1547.218;0.236;-99.98474681654427
log-regression;Java 21;309275.307419;308902.636342;-0.12049816718641172;2127.932;0.406;-99.98092044294648
log-regression;Java 25;309365.570305;315442.555796;1.9643380111784152;1608.544;0.0;-100.0
mnemonics;Java 21;281866.182456;281279.555078;-0.20812265341252092;1777.231;0.54;-99.96961565491486
mnemonics;Java 25;280359.374939;283634.446491;1.1681690875193995;1767.904;0.567;-99.96792812279399
movie-lens;Java 21;331154.431194;322641.801244;-2.570592191476092;1963.426;0.475;-99.97580759346164
movie-lens;Java 25;327060.543483;328857.24352;0.5493478417990189;1650.026;0.553;-99.96648537659406
naive-bayes;Java 21;310866.269024;310851.777473;-0.004661667232499198;2475.14;0.912;-99.96315359939236
naive-bayes;Java 25;309686.658774;309585.353309;-0.032712247082594785;2518.474;0.935;-99.96287434374943
neo4j-analytics;Java 21;325857.139465;332255.886441;1.963666343633158;1928.154;0.437;-99.9773358352082
neo4j-analytics;Java 25;332728.414162;332824.64711;0.02892237149099166;1834.662;0.532;-99.97100283321943
page-rank;Java 21;209097.548463;207527.707115;-0.7507698485894975;12993.665;0.553;-99.99574407990356
page-rank;Java 25;208142.365048;205638.593174;-1.202913147173378;13614.86;0.507;-99.99627612770165
par-mnemonics;Java 21;274735.849635;276683.938603;0.7090770900805836;2000.966;0.481;-99.97596161054211
par-mnemonics;Java 25;274029.185748;279159.686877;1.8722462408504337;1688.761;0.648;-99.96162867332914
philosophers;Java 21;302891.500068;302720.089057;-0.05659155537923877;1726.443;0.505;-99.9707491066893
philosophers;Java 25;303259.770302;302031.21666;-0.40511593106351146;1923.903;0.489;-99.97458291816167
reactors;Java 21;309935.741956;307071.130744;-0.9242597171663518;1381.02;0.583;-99.95778482570853
reactors;Java 25;316834.755749;309204.784006;-2.4081864771946226;1389.169;0.717;-99.94838640942893
rx-scrabble;Java 21;291058.090868;288710.834085;-0.8064564623508581;1381.654;0.451;-99.96735796371595
rx-scrabble;Java 25;290894.894777;288663.107972;-0.7672141536587876;1504.657;0.541;-99.96404496174212
scala-doku;Java 21;301628.46827;304359.887714;0.9055575754059771;191.258;1.926;-98.99298330004497
scala-doku;Java 25;303900.431548;302050.840054;-0.6086175937884164;288.337;2.932;-98.98313431852311
scala-kmeans;Java 21;301052.043197;301104.518384;0.017430603175034875;333.332;0.879;-99.73629894519578
scala-kmeans;Java 25;301234.064917;301242.528523;0.0028096443881062408;257.941;3.273;-98.73110517521448
scala-stm-bench7;Java 21;301938.152174;301714.187977;-0.07417552084338762;17841.158;1.089;-99.99389613611403
scala-stm-bench7;Java 25;301813.396593;302343.652112;0.1756898550514165;15542.042;1.509;-99.99029085109923
scrabble;Java 21;301872.08685;302037.553584;0.054813525730909356;2336.901;0.823;-99.96478241910975
scrabble;Java 25;301892.117287;302287.834743;0.13107909525964434;2525.422;1.119;-99.95569057369421
