benchmark;environment;processed_gc_log_file_count;stw_pause_count;total_stw_ms;stw_overhead_percent;steady_state_start_s;steady_state_end_s;steady_state_wall_clock_span_ms;iteration_total_duration_ms;min_gc_uptime_s_in_steady_state_window;max_gc_uptime_s_in_steady_state_window;category_pause_cleanup_count;category_pause_cleanup_ms;category_pause_mark_end_count;category_pause_mark_end_ms;category_pause_mark_start_count;category_pause_mark_start_ms;category_pause_relocate_start_count;category_pause_relocate_start_ms;category_pause_remark_count;category_pause_remark_ms;category_pause_young_count;category_pause_young_ms
akka-uct;G1GC-Java-21;6;41;5177.575000;1.668715;306.106214745;616.388414419;310282.199674;310273.183870;446.166000;615.610000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;41;5177.575000
akka-uct;G1GC-Java-25;6;40;5124.295000;1.688350;308.104605599;611.621932775;303517.327176;303508.994546;433.857000;609.585000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;40;5124.295000
akka-uct;ZGC-Java-21;6;27;0.774000;0.000247;308.227544107;621.079524821;312851.980714;312841.917750;603.409000;621.059000;0;0.000000;9;0.171000;9;0.343000;9;0.260000;0;0.000000;0;0.000000
akka-uct;ZGC-Java-25;6;32;1.010000;0.000319;302.050611513;619.011908583;316961.297070;316951.059083;597.713000;618.722000;0;0.000000;11;0.229000;10;0.493000;11;0.288000;0;0.000000;0;0.000000
als;G1GC-Java-21;6;41;2263.569000;0.735930;300.377130798;615.113712353;314736.581555;307579.573531;385.069000;613.100000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;41;2263.569000
als;G1GC-Java-25;6;26;2280.829000;0.740026;301.057457455;615.674668689;314617.211234;308209.477054;310.280000;611.060000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;26;2280.829000
als;ZGC-Java-21;6;14;0.328000;0.000107;301.470738672;614.259142266;312788.403594;305484.172644;574.007000;607.712000;0;0.000000;5;0.081000;4;0.140000;5;0.107000;0;0.000000;0;0.000000
als;ZGC-Java-25;6;20;0.520000;0.000171;302.225777029;614.104670806;311878.893777;304505.093090;562.455000;613.779000;0;0.000000;7;0.110000;6;0.257000;7;0.153000;0;0.000000;0;0.000000
chi-square;G1GC-Java-21;6;39;1906.774000;0.617298;300.117566014;609.038367657;308920.801643;308890.414200;492.470000;608.963000;1;10.307000;0;0.000000;0;0.000000;0;0.000000;1;54.351000;37;1842.116000
chi-square;G1GC-Java-25;6;34;1800.417000;0.582801;300.445439306;609.398896678;308953.457372;308925.023683;528.116000;607.123000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;34;1800.417000
chi-square;ZGC-Java-21;6;9;0.177000;0.000057;300.238715415;609.316301361;309077.585946;309044.956342;596.724000;605.763000;0;0.000000;3;0.055000;3;0.062000;3;0.060000;0;0.000000;0;0.000000
chi-square;ZGC-Java-25;6;9;0.217000;0.000070;300.439542693;609.304961724;308865.419031;308834.179320;602.371000;609.262000;0;0.000000;3;0.050000;3;0.106000;3;0.061000;0;0.000000;0;0.000000
db-shootout;G1GC-Java-21;6;39;1958.460000;0.609648;300.530673151;621.791756466;321261.083315;321244.158646;483.344000;617.722000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;39;1958.460000
db-shootout;G1GC-Java-25;6;37;1860.941000;0.591274;304.164494423;618.914972107;314750.477684;314734.263654;500.831000;618.726000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;37;1860.941000
db-shootout;ZGC-Java-21;6;24;0.646000;0.000202;300.523845974;620.398869939;319875.023965;319853.643398;608.128000;620.052000;0;0.000000;8;0.139000;8;0.292000;8;0.215000;0;0.000000;0;0.000000
db-shootout;ZGC-Java-25;6;17;0.618000;0.000196;304.534270286;619.191595162;314657.324876;314634.106061;611.180000;618.921000;0;0.000000;6;0.123000;5;0.289000;6;0.206000;0;0.000000;0;0.000000
dec-tree;G1GC-Java-21;6;32;2010.939000;0.649964;300.389921111;609.817004266;309427.083155;309392.433014;457.735000;607.407000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;32;2010.939000
dec-tree;G1GC-Java-25;6;32;2064.135000;0.669298;300.603550841;609.040081250;308436.530409;308402.801112;419.011000;604.149000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;32;2064.135000
dec-tree;ZGC-Java-21;6;11;0.232000;0.000075;300.508308716;609.137405248;308629.096532;308592.477546;591.550000;606.590000;0;0.000000;4;0.067000;3;0.083000;4;0.082000;0;0.000000;0;0.000000
dec-tree;ZGC-Java-25;6;8;0.167000;0.000054;300.034294607;609.717332094;309683.037487;309647.533333;594.708000;606.639000;0;0.000000;3;0.055000;2;0.059000;3;0.053000;0;0.000000;0;0.000000
dotty;G1GC-Java-21;6;4;989.352000;0.602012;300.916152105;603.436587719;302520.435614;164340.900338;319.955000;543.339000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;4;989.352000
dotty;G1GC-Java-25;6;4;3087.956000;1.889113;300.242422945;604.206419299;303963.996354;163460.615570;330.102000;555.107000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;4;3087.956000
dotty;ZGC-Java-21;6;19;0.472000;0.000274;301.428206669;603.555271000;302127.064331;172348.800328;419.563000;577.053000;0;0.000000;8;0.138000;3;0.124000;8;0.210000;0;0.000000;0;0.000000
