Section A: throughput summary after warmup
benchmark;environment;measurement_count_after_warmup;total_duration_ms;avg_duration_ms;fastest_environment_for_benchmark;fastest_avg_duration_ms;is_fastest_environment
akka-uct;G1GC-Java-21;35;310273.183870;8864.948111;G1GC-Java-21;8864.948111;True
akka-uct;G1GC-Java-25;33;303508.994546;9197.242259;G1GC-Java-21;8864.948111;False
akka-uct;ZGC-Java-21;28;312841.917750;11172.925634;G1GC-Java-21;8864.948111;False
akka-uct;ZGC-Java-25;29;316951.059083;10929.346865;G1GC-Java-21;8864.948111;False
als;G1GC-Java-21;83;307579.573531;3705.777994;G1GC-Java-21;3705.777994;True
als;G1GC-Java-25;79;308209.477054;3901.385785;G1GC-Java-21;3705.777994;False
als;ZGC-Java-21;76;305484.172644;4019.528587;G1GC-Java-21;3705.777994;False
als;ZGC-Java-25;78;304505.093090;3903.911450;G1GC-Java-21;3705.777994;False
chi-square;G1GC-Java-21;581;308890.414200;531.653036;G1GC-Java-21;531.653036;True
chi-square;G1GC-Java-25;558;308925.023683;553.629075;G1GC-Java-21;531.653036;False
chi-square;ZGC-Java-21;515;309044.956342;600.087294;G1GC-Java-21;531.653036;False
chi-square;ZGC-Java-25;490;308834.179320;630.273835;G1GC-Java-21;531.653036;False
db-shootout;G1GC-Java-21;60;321244.158646;5354.069311;G1GC-Java-25;4917.722870;False
db-shootout;G1GC-Java-25;64;314734.263654;4917.722870;G1GC-Java-25;4917.722870;True
db-shootout;ZGC-Java-21;52;319853.643398;6151.031604;G1GC-Java-25;4917.722870;False
db-shootout;ZGC-Java-25;55;314634.106061;5720.620110;G1GC-Java-25;4917.722870;False
dec-tree;G1GC-Java-21;434;309392.433014;712.885790;G1GC-Java-25;658.980344;False
dec-tree;G1GC-Java-25;468;308402.801112;658.980344;G1GC-Java-25;658.980344;True
dec-tree;ZGC-Java-21;386;308592.477546;799.462377;G1GC-Java-25;658.980344;False
dec-tree;ZGC-Java-25;403;309647.533333;768.356162;G1GC-Java-25;658.980344;False
dotty;G1GC-Java-21;196;164340.900338;838.473981;G1GC-Java-25;821.410128;False
dotty;G1GC-Java-25;199;163460.615570;821.410128;G1GC-Java-25;821.410128;True
dotty;ZGC-Java-21;183;172348.800328;941.796723;G1GC-Java-25;821.410128;False
dotty;ZGC-Java-25;186;172034.899211;924.918813;G1GC-Java-25;821.410128;False
finagle-chirper;G1GC-Java-21;105;304396.744225;2899.016612;G1GC-Java-25;2806.893976;False
finagle-chirper;G1GC-Java-25;109;305951.443383;2806.893976;G1GC-Java-25;2806.893976;True
finagle-chirper;ZGC-Java-21;99;307000.364069;3101.013778;G1GC-Java-25;2806.893976;False
finagle-chirper;ZGC-Java-25;99;306418.353422;3095.134883;G1GC-Java-25;2806.893976;False
finagle-http;G1GC-Java-21;71;309232.825167;4355.391904;G1GC-Java-25;4265.402358;False
finagle-http;G1GC-Java-25;72;307108.969797;4265.402358;G1GC-Java-25;4265.402358;True
finagle-http;ZGC-Java-21;65;307341.304635;4728.327764;G1GC-Java-25;4265.402358;False
finagle-http;ZGC-Java-25;66;304806.734642;4618.283858;G1GC-Java-25;4265.402358;False
fj-kmeans;G1GC-Java-21;79;303377.199518;3840.217715;G1GC-Java-25;3559.604026;False
fj-kmeans;G1GC-Java-25;85;302566.342187;3559.604026;G1GC-Java-25;3559.604026;True
fj-kmeans;ZGC-Java-21;60;308490.495530;5141.508259;G1GC-Java-25;3559.604026;False
fj-kmeans;ZGC-Java-25;72;304928.446676;4235.117315;G1GC-Java-25;3559.604026;False
future-genetic;G1GC-Java-21;140;302201.654961;2158.583250;ZGC-Java-25;2062.496681;False
future-genetic;G1GC-Java-25;146;302722.942087;2073.444809;ZGC-Java-25;2062.496681;False
future-genetic;ZGC-Java-21;140;302672.347853;2161.945342;ZGC-Java-25;2062.496681;False
future-genetic;ZGC-Java-25;147;303187.012092;2062.496681;ZGC-Java-25;2062.496681;True
gauss-mix;G1GC-Java-21;45;312756.952662;6950.154504;G1GC-Java-21;6950.154504;True
gauss-mix;G1GC-Java-25;45;317999.334231;7066.651872;G1GC-Java-21;6950.154504;False
gauss-mix;ZGC-Java-21;34;309867.299731;9113.744110;G1GC-Java-21;6950.154504;False
gauss-mix;ZGC-Java-25;35;318063.340811;9087.524023;G1GC-Java-21;6950.154504;False
log-regression;G1GC-Java-21;333;309275.307419;928.754677;G1GC-Java-25;856.968339;False
log-regression;G1GC-Java-25;361;309365.570305;856.968339;G1GC-Java-25;856.968339;True
log-regression;ZGC-Java-21;270;308902.636342;1144.083838;G1GC-Java-25;856.968339;False
log-regression;ZGC-Java-25;290;315442.555796;1087.732951;G1GC-Java-25;856.968339;False
mnemonics;G1GC-Java-21;89;281866.182456;3167.035758;G1GC-Java-25;2982.546542;False
mnemonics;G1GC-Java-25;94;280359.374939;2982.546542;G1GC-Java-25;2982.546542;True
mnemonics;ZGC-Java-21;81;281279.555078;3472.587100;G1GC-Java-25;2982.546542;False
mnemonics;ZGC-Java-25;82;283634.446491;3458.956665;G1GC-Java-25;2982.546542;False
movie-lens;G1GC-Java-21;30;331154.431194;11038.481040;G1GC-Java-25;10902.018116;False
movie-lens;G1GC-Java-25;30;327060.543483;10902.018116;G1GC-Java-25;10902.018116;True
movie-lens;ZGC-Java-21;25;322641.801244;12905.672050;G1GC-Java-25;10902.018116;False
movie-lens;ZGC-Java-25;25;328857.243520;13154.289741;G1GC-Java-25;10902.018116;False
naive-bayes;G1GC-Java-21;235;310866.269024;1322.835187;G1GC-Java-25;1028.859331;False
naive-bayes;G1GC-Java-25;301;309686.658774;1028.859331;G1GC-Java-25;1028.859331;True
naive-bayes;ZGC-Java-21;186;310851.777473;1671.246115;G1GC-Java-25;1028.859331;False
naive-bayes;ZGC-Java-25;224;309585.353309;1382.077470;G1GC-Java-25;1028.859331;False
neo4j-analytics;G1GC-Java-21;189;325857.139465;1724.111849;G1GC-Java-25;1655.365245;False
neo4j-analytics;G1GC-Java-25;201;332728.414162;1655.365245;G1GC-Java-25;1655.365245;True
neo4j-analytics;ZGC-Java-21;176;332255.886441;1887.817537;G1GC-Java-25;1655.365245;False
neo4j-analytics;ZGC-Java-25;184;332824.647110;1808.829604;G1GC-Java-25;1655.365245;False
page-rank;G1GC-Java-21;47;209097.548463;4448.884010;ZGC-Java-25;4196.705983;False
page-rank;G1GC-Java-25;48;208142.365048;4336.299272;ZGC-Java-25;4196.705983;False
page-rank;ZGC-Java-21;48;207527.707115;4323.493898;ZGC-Java-25;4196.705983;False
page-rank;ZGC-Java-25;49;205638.593174;4196.705983;ZGC-Java-25;4196.705983;True
par-mnemonics;G1GC-Java-21;108;274735.849635;2543.850460;G1GC-Java-25;2342.129793;False
par-mnemonics;G1GC-Java-25;117;274029.185748;2342.129793;G1GC-Java-25;2342.129793;True
par-mnemonics;ZGC-Java-21;100;276683.938603;2766.839386;G1GC-Java-25;2342.129793;False
par-mnemonics;ZGC-Java-25;100;279159.686877;2791.596869;G1GC-Java-25;2342.129793;False
philosophers;G1GC-Java-21;178;302891.500068;1701.637641;ZGC-Java-21;1672.486680;False
philosophers;G1GC-Java-25;154;303259.770302;1969.219288;ZGC-Java-21;1672.486680;False
philosophers;ZGC-Java-21;181;302720.089057;1672.486680;ZGC-Java-21;1672.486680;True
philosophers;ZGC-Java-25;155;302031.216660;1948.588495;ZGC-Java-21;1672.486680;False
reactors;G1GC-Java-21;34;309935.741956;9115.757116;G1GC-Java-21;9115.757116;True
reactors;G1GC-Java-25;30;316834.755749;10561.158525;G1GC-Java-21;9115.757116;False
reactors;ZGC-Java-21;33;307071.130744;9305.185780;G1GC-Java-21;9115.757116;False
reactors;ZGC-Java-25;29;309204.784006;10662.233931;G1GC-Java-21;9115.757116;False
rx-scrabble;G1GC-Java-21;2718;291058.090868;107.085390;G1GC-Java-25;104.300787;False
rx-scrabble;G1GC-Java-25;2789;290894.894777;104.300787;G1GC-Java-25;104.300787;True
