benchmark;environment;measurement_count;total_duration_ms;avg_duration_ms;steady_state_start_s;steady_state_end_s;steady_state_wall_clock_span_ms;fastest_environment;fastest_avg_duration_ms;is_fastest_environment
akka-uct;G1GC-Java-21;35;310273.183870;8864.948111;306.106214745;616.388414419;310282.199674;G1GC-Java-21;8864.948111;TRUE
akka-uct;G1GC-Java-25;33;303508.994546;9197.242259;308.104605599;611.621932775;303517.327176;;;
akka-uct;ZGC-Java-21;28;312841.917750;11172.925634;308.227544107;621.079524821;312851.980714;;;
akka-uct;ZGC-Java-25;29;316951.059083;10929.346865;302.050611513;619.011908583;316961.297070;;;
als;G1GC-Java-21;83;307579.573531;3705.777994;300.377130798;615.113712353;314736.581555;G1GC-Java-21;3705.777994;TRUE
als;G1GC-Java-25;79;308209.477054;3901.385785;301.057457455;615.674668689;314617.211234;;;
als;ZGC-Java-21;76;305484.172644;4019.528587;301.470738672;614.259142266;312788.403594;;;
als;ZGC-Java-25;78;304505.093090;3903.911450;302.225777029;614.104670806;311878.893777;;;
chi-square;G1GC-Java-21;581;308890.414200;531.653036;300.117566014;609.038367657;308920.801643;G1GC-Java-21;531.653036;TRUE
chi-square;G1GC-Java-25;558;308925.023683;553.629075;300.445439306;609.398896678;308953.457372;;;
chi-square;ZGC-Java-21;515;309044.956342;600.087294;300.238715415;609.316301361;309077.585946;;;
chi-square;ZGC-Java-25;490;308834.179320;630.273835;300.439542693;609.304961724;308865.419031;;;
db-shootout;G1GC-Java-21;60;321244.158646;5354.069311;300.530673151;621.791756466;321261.083315;;;
db-shootout;G1GC-Java-25;64;314734.263654;4917.722870;304.164494423;618.914972107;314750.477684;G1GC-Java-25;4917.722870;TRUE
db-shootout;ZGC-Java-21;52;319853.643398;6151.031604;300.523845974;620.398869939;319875.023965;;;
db-shootout;ZGC-Java-25;55;314634.106061;5720.620110;304.534270286;619.191595162;314657.324876;;;
dec-tree;G1GC-Java-21;434;309392.433014;712.885790;300.389921111;609.817004266;309427.083155;;;
dec-tree;G1GC-Java-25;468;308402.801112;658.980344;300.603550841;609.040081250;308436.530409;G1GC-Java-25;658.980344;TRUE
dec-tree;ZGC-Java-21;386;308592.477546;799.462377;300.508308716;609.137405248;308629.096532;;;
dec-tree;ZGC-Java-25;403;309647.533333;768.356162;300.034294607;609.717332094;309683.037487;;;
dotty;G1GC-Java-21;196;164340.900338;838.473981;300.916152105;603.436587719;302520.435614;;;
dotty;G1GC-Java-25;199;163460.615570;821.410128;300.242422945;604.206419299;303963.996354;G1GC-Java-25;821.410128;TRUE
dotty;ZGC-Java-21;183;172348.800328;941.796723;301.428206669;603.555271000;302127.064331;;;
dotty;ZGC-Java-25;186;172034.899211;924.918813;300.101605805;603.703876467;303602.270662;;;
finagle-chirper;G1GC-Java-21;105;304396.744225;2899.016612;301.435089549;606.428649575;304993.560026;;;
